Unnamed: 0,RA,Dec,PlateID,MJD,FibreID,z,S_NVSS,Radio_class,S_FIRST,offset,AGN,Main_samp,LERG,HERG,log_L_NVSS,VLASS_tile,RA_hms,Dec_dms
102,162.33807,-0.66806,276,51909,314,0.0387,0.25,2,0.1028,0.52,1,0,1,0,23.951584153425266,T10t17,10:49:21.1368,-0:40:5.016
106,162.49522499999995,0.32231,276,51909,440,0.039,0.063,2,0.006,0.24,1,0,1,0,23.359970522796164,T11t17,10:49:58.854,0:19:20.316
1080,14.258569499999998,-0.87518,395,51783,138,0.044160000000000005,0.064,2,0.0323,0.19,1,0,1,0,23.47951289229784,T10t02,0:57:2.0567,-0:52:30.648
2567,164.811015,5.2920300000000005,580,52368,461,0.03532,0.0505,2,0.0361,0.24,1,0,1,0,23.174409193727037,T12t17,10:59:14.6436,5:17:31.308
2890,239.33916000000002,54.67111,619,52056,158,0.04694,0.09,2,0.025,0.06,1,0,1,0,23.683162323542966,T24t16,15:57:21.3984,54:40:15.996
3528,30.572019,-1.12785,701,52179,129,0.04255,0.0403,2,0.0063,0.68,1,0,1,0,23.24489282012969,T10t04,2:2:17.2846,-1:7:40.26
3840,144.173202,53.10767,768,52281,463,0.04634,0.058,2,0.0,-1.0,1,0,1,0,23.480622203783174,T24t10,9:36:41.5685,53:6:27.612
8423,214.1325,39.58905,1380,53084,420,0.02561,0.0315,2,0.0189,1.13,1,0,1,0,22.68109146358555,T20t18,14:16:31.8,39:35:20.58
11722,227.88075,7.25197,1816,53919,70,0.04483,0.199,2,0.083,0.11,1,0,1,0,23.985882887665266,T12t23,15:11:31.38,7:15:7.092
11909,232.020645,5.74118,1835,54563,503,0.0411,0.0453,2,0.0203,0.48,1,0,1,0,23.264229381247482,T12t24,15:28:4.9548,5:44:28.248
13627,201.21435,36.37854,2102,54115,300,0.017490000000000002,0.7894,2,0.2095,1.04,1,0,1,0,23.74112683086831,T20t17,13:24:51.444,36:22:42.744
13722,200.93757,31.56576,2110,53467,344,0.01618,0.1597,2,0.0022,0.17,1,0,1,0,22.978260185400053,T18t18,13:23:45.0168,31:33:56.736
14509,243.89817,19.45338,2206,53795,133,0.03043,0.0395,2,0.0033,1.05,1,1,1,0,22.933701685413407,T15t22,16:15:35.5608,19:27:12.168
14898,194.35152,27.49782,2240,53823,157,0.02448,0.0659,2,0.0,-1.0,1,0,1,0,22.961401737022747,T17t18,12:57:24.3648,27:29:52.152
14908,194.89878000000002,27.95927,2240,53823,585,0.02391,0.1954,2,0.0,-1.0,1,0,1,0,23.41243775085237,T17t18,12:59:35.7072,27:57:33.372
16497,239.456745,16.31019,2521,54538,566,0.03701,0.1134,2,0.0346,0.43,1,0,1,0,23.567902273959106,T15t22,15:57:49.6188,16:18:36.684
16670,137.8948365,12.92726,2576,54086,525,0.04952,0.3946,2,0.0,-1.0,1,1,1,0,24.37391854659409,T14t14,9:11:34.7608,12:55:38.136
